                                                                               
{'loss': '0.6924', 'grad_norm': '1.288', 'learning_rate': '1.433e-07', 'epoch': '0.002193'}
{'loss': '0.6843', 'grad_norm': '1.261', 'learning_rate': '2.895e-07', 'epoch': '0.004387'}
{'loss': '0.6789', 'grad_norm': '1.643', 'learning_rate': '4.357e-07', 'epoch': '0.00658'}
{'loss': '0.6604', 'grad_norm': '1.441', 'learning_rate': '5.819e-07', 'epoch': '0.008773'}
{'loss': '0.6413', 'grad_norm': '1.62', 'learning_rate': '7.281e-07', 'epoch': '0.01097'}
{'loss': '0.5981', 'grad_norm': '1.84', 'learning_rate': '8.743e-07', 'epoch': '0.01316'}
{'loss': '0.5237', 'grad_norm': '1.913', 'learning_rate': '1.02e-06', 'epoch': '0.01535'}
{'loss': '0.4435', 'grad_norm': '3.18', 'learning_rate': '1.167e-06', 'epoch': '0.01755'}
{'loss': '0.3424', 'grad_norm': '2.088', 'learning_rate': '1.313e-06', 'epoch': '0.01974'}
{'loss': '0.2774', 'grad_norm': '1.614', 'learning_rate': '1.459e-06', 'epoch': '0.02193'}
{'loss': '0.2549', 'grad_norm': '4.415', 'learning_rate': '1.605e-06', 'epoch': '0.02413'}
{'loss': '0.1904', 'grad_norm': '2.531', 'learning_rate': '1.751e-06', 'epoch': '0.02632'}
{'loss': '0.174', 'grad_norm': '3.256', 'learning_rate': '1.898e-06', 'epoch': '0.02851'}
{'loss': '0.1636', 'grad_norm': '4.833', 'learning_rate': '2.044e-06', 'epoch': '0.03071'}
{'loss': '0.1282', 'grad_norm': '4.795', 'learning_rate': '2.19e-06', 'epoch': '0.0329'}
{'loss': '0.1008', 'grad_norm': '1.185', 'learning_rate': '2.336e-06', 'epoch': '0.03509'}
{'loss': '0.1048', 'grad_norm': '0.5304', 'learning_rate': '2.482e-06', 'epoch': '0.03729'}
{'loss': '0.1116', 'grad_norm': '0.2553', 'learning_rate': '2.629e-06', 'epoch': '0.03948'}
{'loss': '0.09205', 'grad_norm': '5.192', 'learning_rate': '2.775e-06', 'epoch': '0.04167'}
{'loss': '0.1127', 'grad_norm': '3.206', 'learning_rate': '2.921e-06', 'epoch': '0.04387'}
{'loss': '0.09373', 'grad_norm': '0.8059', 'learning_rate': '3.067e-06', 'epoch': '0.04606'}
